clock,xxx,src,dest
35.0,Animation,AMS,DEL
35.0,Animation,ATL,ORD
35.0,Animation,AYT,CLT
35.0,Animation,BOM,NRT
35.0,Animation,BOS,DFW
35.0,Animation,CAN,PEK
35.0,Animation,CDG,DEN
35.0,Animation,CGK,ORY
35.0,Animation,CLT,DXB
35.0,Animation,CTU,PHX
35.0,Animation,DEL,DTW
35.0,Animation,DEN,PHL
35.0,Animation,DTW,SFO
35.0,Animation,EWR,SEA
35.0,Animation,FRA,LHR
35.0,Animation,GRU,AMS
35.0,Animation,HKG,LAX
35.0,Animation,IAH,BOM
35.0,Animation,IST,MCO
35.0,Animation,JFK,AYT
35.0,Animation,KUL,MAD
35.0,Animation,LAS,CAN
35.0,Animation,LAX,MIA
35.0,Animation,LHR,BOS
35.0,Animation,MAD,MEX
35.0,Animation,MCO,CGK
35.0,Animation,MEL,MUC
35.0,Animation,MEX,CDG
35.0,Animation,MIA,MSP
35.0,Animation,MSP,MAD
35.0,Animation,MUC,BOM
35.0,Animation,NRT,LHR
35.0,Animation,ORD,AYT
35.0,Animation,SFO,MEX
35.0,Animation,SHA,CDG
35.0,Animation,SIN,NRT
35.0,Animation,SYD,CTU
35.0,Animation,SZX,MUC
35.0,Animation,TPE,CLT
35.0,Animation,YYZ,GRU
35.0,Animation,ZRH,SIN
35.0,Animation,AMS,YYZ
35.0,Animation,ATL,PHL
35.0,Animation,AYT,JFK
35.0,Animation,BOM,DEL
35.0,Animation,BOS,AYT
35.0,Animation,CAN,SFO
35.0,Animation,CDG,LHR
35.0,Animation,CGK,DXB
35.0,Animation,CLT,CDG
35.0,Animation,CTU,SZX
35.0,Animation,DEL,MEX
35.0,Animation,DEN,GRU
35.0,Animation,DFW,CDG
35.0,Animation,DTW,AMS
35.0,Animation,DXB,NRT
35.0,Animation,EWR,JFK
35.0,Animation,FCO,MSP
35.0,Animation,FRA,IAH
35.0,Animation,GRU,BOS
35.0,Animation,HKG,SIN
35.0,Animation,IAH,ORY
35.0,Animation,IST,LAS
35.0,Animation,JFK,DEL
35.0,Animation,KUL,YYZ
35.0,Animation,LAS,PVG
35.0,Animation,LAX,MCO
35.0,Animation,LHR,DXB
35.0,Animation,MAD,AYT
35.0,Animation,MCO,SIN
35.0,Animation,MEL,NRT
35.0,Animation,MEX,GRU
35.0,Animation,MIA,CDG
35.0,Animation,MSP,MIA
35.0,Animation,MUC,HKG
35.0,Animation,NRT,BOM
35.0,Animation,ORD,SHA
35.0,Animation,ORY,ORD
35.0,Animation,PEK,KUL
35.0,Animation,PHL,CGK
35.0,Animation,PHX,TPE
35.0,Animation,PVG,PHX
35.0,Animation,SEA,MAD
35.0,Animation,SFO,DTW
35.0,Animation,SHA,ATL
35.0,Animation,SIN,SHA
35.0,Animation,SYD,MIA
35.0,Animation,SZX,FRA
35.0,Animation,TPE,CAN
35.0,Animation,YYZ,FCO
35.0,Animation,ZRH,BOM
35.0,Animation,DFW,MUC
35.0,Animation,DXB,FRA
35.0,Animation,FCO,LAX
35.0,Animation,ORY,DEN
35.0,Animation,PEK,MEX
35.0,Animation,PHL,LAS
35.0,Animation,PHX,SFO
35.0,Animation,PVG,PEK
35.0,Animation,SEA,CDG
40.0,Animation,AMS,MEL
40.0,Animation,ATL,TPE
40.0,Animation,BOM,DEL
40.0,Animation,CDG,FCO
40.0,Animation,CLT,MEX
40.0,Animation,CTU,YYZ
40.0,Animation,DEL,SHA
40.0,Animation,DEN,CAN
40.0,Animation,DTW,LAX
40.0,Animation,EWR,PHL
40.0,Animation,FRA,SIN
40.0,Animation,GRU,PHL
40.0,Animation,HKG,CDG
40.0,Animation,IAH,ATL
40.0,Animation,IST,IAH
40.0,Animation,JFK,DFW
40.0,Animation,KUL,MUC
40.0,Animation,LAS,LHR
40.0,Animation,LAX,TPE
40.0,Animation,MSP,ORD
40.0,Animation,MUC,BOM
40.0,Animation,NRT,TPE
40.0,Animation,ORD,FCO
40.0,Animation,SFO,YYZ
40.0,Animation,SHA,FRA
40.0,Animation,SIN,DFW
40.0,Animation,SYD,MIA
40.0,Animation,SZX,LAX
40.0,Animation,TPE,SHA
40.0,Animation,YYZ,MIA
40.0,Animation,ZRH,ATL
40.0,Animation,AMS,TPE
40.0,Animation,ATL,DTW
40.0,Animation,AYT,FRA
40.0,Animation,BOM,MIA
40.0,Animation,BOS,CLT
40.0,Animation,CAN,LAS
40.0,Animation,CDG,MCO
40.0,Animation,CGK,SIN
40.0,Animation,CLT,IST
40.0,Animation,CTU,ORD
40.0,Animation,DEL,PVG
40.0,Animation,DEN,MUC
40.0,Animation,DFW,LAS
40.0,Animation,DTW,YYZ
40.0,Animation,DXB,ATL
40.0,Animation,EWR,FRA
40.0,Animation,FCO,AMS
40.0,Animation,FRA,FCO
